Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
hepatitis.csv,CL_s,9,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.6666666666666666,0.75,0.25,0.8181818181818182,0.5555555555555556,0.8318043068043067,1.3154041767120361,0.13298988342285156
hepatitis.csv,CL_s,10,"{'n_estimators': 10, 'max_depth': 31, 'criterion': 'entropy'}",0.7333333333333333,1.0,0.0,0.7142857142857143,0.88,0.9296356421356422,1.3569049835205078,0.06650288899739583
ozone.csv,CL_s,1,"{'n_estimators': 10, 'max_depth': 26, 'criterion': 'entropy'}",0.968503937007874,0.1111111111111111,0.8888888888888888,1.0,0.834920634920635,0.3074771903512061,3.588414430618286,0.007853733273003045
ozone.csv,CL_s,2,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9803149606299213,0.0,1.0,0.0,0.9489959839357429,0.2177777777777778,4.024564981460571,0.023567770409771777
ozone.csv,CL_s,3,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9566929133858267,0.0,1.0,0.0,0.9203142536475869,0.315137896911533,3.907130002975464,0.0195033906951664
ozone.csv,CL_s,4,"{'n_estimators': 10, 'max_depth': 31, 'criterion': 'entropy'}",0.9645669291338582,0.0,1.0,0.0,0.8934240362811791,0.2746141091238724,3.60444974899292,0.007859365207942452
ozone.csv,CL_s,5,"{'n_estimators': 30, 'max_depth': 37, 'criterion': 'gini'}",0.9763779527559056,0.0,1.0,0.0,0.8165322580645162,0.11705346657870974,3.591297149658203,0.01963104788712629
ozone.csv,CL_s,6,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.9606299212598425,0.0,1.0,0.0,0.8852459016393442,0.446270113365016,3.606523036956787,0.015704650578536386
ozone.csv,CL_s,7,"{'n_estimators': 40, 'max_depth': 25, 'criterion': 'gini'}",0.9841897233201581,0.0,1.0,0.0,0.7931726907630521,0.13550018821757953,3.7424378395080566,0.019563516609282364
ozone.csv,CL_s,8,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.9762845849802372,0.0,1.0,0.0,0.9308367071524966,0.15570638511814983,4.123846054077148,0.01971523752325608
ozone.csv,CL_s,9,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9802371541501976,0.0,1.0,0.0,0.9226907630522088,0.23055555555555557,4.5603928565979,0.027589647195084766
ozone.csv,CL_s,10,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.9604743083003953,0.0,1.0,0.0,0.7948542805100182,0.1812203338773387,3.625169277191162,0.023658096554722237
planning.csv,CL_s,1,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.7894736842105263,0.0,1.0,0.0,0.36458333333333337,0.16085668717247664,1.5212821960449219,0.1595020294189453
planning.csv,CL_s,2,"{'n_estimators': 10, 'max_depth': 31, 'criterion': 'entropy'}",0.7368421052631579,0.4,0.6,0.5,0.4357142857142857,0.44276315789473686,1.7019071578979492,0.05253992582622328
planning.csv,CL_s,3,"{'n_estimators': 10, 'max_depth': 31, 'criterion': 'entropy'}",0.5555555555555556,0.0,1.0,0.0,0.22222222222222224,0.24901960784313726,2.361814022064209,0.05540582868787977
planning.csv,CL_s,4,"{'n_estimators': 40, 'max_depth': 45, 'criterion': 'gini'}",0.6111111111111112,0.0,1.0,0.0,0.5454545454545454,0.4210941952538591,1.5414319038391113,0.27697616153293186
planning.csv,CL_s,5,"{'n_estimators': 40, 'max_depth': 45, 'criterion': 'gini'}",0.6111111111111112,0.0,1.0,0.0,0.38888888888888884,0.31268939393939393,1.4575672149658203,0.22162331475151908
planning.csv,CL_s,6,"{'n_estimators': 10, 'max_depth': 26, 'criterion': 'entropy'}",0.7777777777777778,0.0,1.0,0.0,0.2333333333333333,0.14239028944911297,1.7197902202606201,0.05537933773464627
